"filename", "language", "XML", "JavaScript JSX", "JavaScript", "JSON", "SCSS", "CSS", "comment", "blank", "total"
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\DeleteColor.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 8, 45
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\EditColor.jsx", "JavaScript JSX", 0, 70, 0, 0, 0, 0, 1, 8, 79
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\EditImage.jsx", "JavaScript JSX", 0, 97, 0, 0, 0, 0, 0, 9, 106
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\EditProductModal.scss", "SCSS", 0, 0, 0, 0, 30, 0, 0, 1, 31
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Modals\SuccessUpdated.jsx", "JavaScript JSX", 0, 23, 0, 0, 0, 0, 0, 3, 26
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Preview.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\PriceComponent.jsx", "JavaScript JSX", 0, 27, 0, 0, 0, 0, 0, 6, 33
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\components\components\tabs\Sales.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-account\update-product\[productId]\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-activate\[box_key]\page.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProduct.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 5, 21
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProductFooter.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 3, 11
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProductForm.jsx", "JavaScript JSX", 0, 386, 0, 0, 0, 0, 1, 50, 437
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\BoxAddProductHeader.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\modals\ChooseColor.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 2, 6, 65
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\modals\ChooseRazdel.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 0, 0, 6, 64
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\сomponents\ChooseColorButton.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 2, 5, 54
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\componetns\сomponents\PriceComponent.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 0, 0, 6, 36
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-addproduct\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\components\BoxCreate.jsx", "JavaScript JSX", 0, 106, 0, 0, 0, 0, 0, 24, 130
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\components\BoxCreate.scss", "SCSS", 0, 0, 0, 0, 19, 0, 0, 0, 19
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\components\BoxRegisteredModal.jsx", "JavaScript JSX", 0, 28, 0, 0, 0, 0, 0, 4, 32
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box-create\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\AddToCartButton.jsx", "JavaScript JSX", 0, 40, 0, 0, 0, 0, 0, 9, 49
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxContent.jsx", "JavaScript JSX", 0, 60, 0, 0, 0, 0, 0, 17, 77
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxContent.scss", "SCSS", 0, 0, 0, 0, 90, 0, 0, 19, 109
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxFooter.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxHeader.jsx", "JavaScript JSX", 0, 192, 0, 0, 0, 0, 33, 38, 263
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxProductCard.jsx", "JavaScript JSX", 0, 47, 0, 0, 0, 0, 4, 6, 57
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\BoxView.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 10, 48
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\components\Razdel.jsx", "JavaScript JSX", 0, 31, 0, 0, 0, 0, 0, 4, 35
"c:\Users\HP\Desktop\optal\fe-optal\src\app\box\[box_id]\page.jsx", "JavaScript JSX", 0, 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\HP\Desktop\optal\fe-optal\src\app\cart\checkout\page.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 2, 16
"c:\Users\HP\Desktop\optal\fe-optal\src\app\cart\page.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 1, 5, 24
"c:\Users\HP\Desktop\optal\fe-optal\src\app\category\[categoryId]\page.jsx", "JavaScript JSX", 0, 15, 0, 0, 0, 0, 0, 2, 17
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\AccountCustomer.jsx", "JavaScript JSX", 0, 133, 0, 0, 0, 0, 2, 20, 155
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Currency.jsx", "JavaScript JSX", 0, 173, 0, 0, 0, 0, 0, 22, 195
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\OneOrder.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 0, 5, 30
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\OneOrder.scss", "SCSS", 0, 0, 0, 0, 83, 0, 2, 0, 85
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\Orders.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 7, 64
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountCustomer\Orders\Orders.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 13
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\AccountFactory\AccountFactory.jsx", "JavaScript JSX", 0, 101, 0, 0, 0, 0, 3, 20, 124
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\LoginCustomer\LoginCustomer.jsx", "JavaScript JSX", 0, 176, 0, 0, 0, 0, 2, 18, 196
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\LoginsFactory\LoginFactory.jsx", "JavaScript JSX", 0, 178, 0, 0, 0, 0, 1, 25, 204
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\RegisterCustomer\RegisterCustomer.jsx", "JavaScript JSX", 0, 201, 0, 0, 0, 0, 2, 30, 233
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\Auth\RegisterFactory\RegisterFactory.jsx", "JavaScript JSX", 0, 207, 0, 0, 0, 0, 2, 39, 248
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\CategoryContent\CategoryContent.jsx", "JavaScript JSX", 0, 59, 0, 0, 0, 0, 0, 7, 66
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\CurrencyFormatter\CurrencyFormatter.jsx", "JavaScript JSX", 0, 19, 0, 0, 0, 0, 3, 8, 30
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\DesktopCats\DesktopCats.jsx", "JavaScript JSX", 0, 21, 0, 0, 0, 0, 0, 3, 24
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\DesktopCats\DesktopCatsComponent.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 14, 87
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\SubCategoryContent\SubCategoryContent.jsx", "JavaScript JSX", 0, 37, 0, 0, 0, 0, 0, 4, 41
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\AccountHeader.jsx", "JavaScript JSX", 0, 172, 0, 0, 0, 0, 1, 23, 196
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\AccountProducts.jsx", "JavaScript JSX", 0, 63, 0, 0, 0, 0, 0, 17, 80
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\ProductList.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 8, 25
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\ProductList.scss", "SCSS", 0, 0, 0, 0, 22, 0, 0, 2, 24
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\account_header\UploadAvatarModal.jsx", "JavaScript JSX", 0, 110, 0, 0, 0, 0, 1, 15, 126
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddProductFooter.jsx", "JavaScript JSX", 0, 8, 0, 0, 0, 0, 0, 2, 10
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddProductForm.jsx", "JavaScript JSX", 0, 350, 0, 0, 0, 0, 0, 46, 396
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddProductIndex.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 3, 19
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\AddproductHeader.jsx", "JavaScript JSX", 0, 26, 0, 0, 0, 0, 0, 4, 30
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\ColorVariant.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\addproduct\reserve.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\banner\Banner.jsx", "JavaScript JSX", 0, 25, 0, 0, 0, 0, 37, 15, 77
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\buttons\ActionButton.jsx", "JavaScript JSX", 0, 44, 0, 0, 0, 0, 0, 3, 47
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\Backup.js", "JavaScript", 0, 0, 64, 0, 0, 0, 0, 0, 64
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\Cart.jsx", "JavaScript JSX", 0, 225, 0, 0, 0, 0, 3, 59, 287
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CartItem.jsx", "JavaScript JSX", 0, 150, 0, 0, 0, 0, 3, 30, 183
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CheckOutModal.jsx", "JavaScript JSX", 0, 91, 0, 0, 0, 0, 0, 16, 107
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CheckOutModal.scss", "SCSS", 0, 0, 0, 0, 29, 0, 1, 0, 30
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\CitySelector.jsx", "JavaScript JSX", 0, 22, 0, 0, 0, 0, 0, 3, 25
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\SaveModal.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 1, 9, 60
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\SaveModal.scss", "SCSS", 0, 0, 0, 0, 14, 0, 1, 0, 15
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\cities.jsx", "JavaScript JSX", 0, 16, 0, 0, 0, 0, 0, 1, 17
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\cart\handleSaveCart.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\AreYouSureModal.jsx", "JavaScript JSX", 0, 50, 0, 0, 0, 0, 0, 5, 55
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ChangeUserCityModal.jsx", "JavaScript JSX", 0, 77, 0, 0, 0, 0, 0, 9, 86
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ChangeUserFirstNameModal.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 4, 61
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\ChangeUserPhoneModal.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 5, 62
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\CheckOut.jsx", "JavaScript JSX", 0, 196, 0, 0, 0, 0, 1, 27, 224
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\CheckOut.scss", "SCSS", 0, 0, 0, 0, 190, 0, 12, 8, 210
"c:\Users\HP\Desktop\optal\fe-optal\src\app\components\checkout\GotYouModal.jsx", "JavaScript JSX", 0, 43, 0, 0, 0, 0, 0, 6, 49
